Word,Frequency
steel,14
shine,14
mix,14
thinking,14
‘cause,14
bottle,14
devil,14
jack,14
havin',14
party,14
killin',14
year,14
crew,14
pockets,14
late,14
women,14
coke,14
whatever,14
phone,14
glock,14
care,14
kiss,14
already,14
industry,14
mother,14
villain,14
means,14
goes,14
gets,14
human,14
claim,14
plate,14
years,14
whip,14
bleed,14
moon,14
doot,14
ha,13
microphone,13
tomorrow,13
father,13
whether,13
facts,13
evil,13
train,13
flesh,13
bread,13
million,13
okay,13
thousand,13
poppin',13
met,13
tight,13
b,13
club,13
comes,13
figure,13
scene,13
dumb,13
sign,13
rappin',13
lead,13
tears,13
blind,13
star,13
chrome,13
squeeze,13
wear,13
cops,13
talking,13
breaking,13
record,13
lately,13
law,13
pound,13
wish,13
wasn't,13
ghetto,13
class,13
quit,13
piss,13
brothers,13
rain,13
movin',13
chop,13
within,13
somebody,13
moment,13
album,13
waste,13
guy,13
killing,13
extra,13
box,13
prison,13
land,13
trigger,13
haha,13
culture,13
movie,12
learn,12
together,12
bank,12
wake,12
funny,12
page,12
read,12
connect,12
reach,12
mom,12
test,12
poor,12
aim,12
holding,12
snap,12
glass,12
holdin',12
involved,12
tape,12
la,12
hide,12
later,12
laugh,12
stack,12
add,12
zone,12
gats,12
wack,12
chicks,12
squad,12
sweat,12
girls,12
coast,12
killed,12
ground,12
taking,12
above,12
dollar,12
round,12
bed,12
earth,12
bite,12
raw,12
mac,12
wind,12
morning,12
taste,12
clip,12
choose,12
alone,12
mirror,12
dude,12
forget,12
we're,12
lose,12
looking,12
that’s,12
dirty,12
lines,12
wants,12
very,12
force,12
fan,12
summer,12
doom,12
prolly,11
fear,11
lock,11
motherfucking,11
sense,11
isn't,11
brought,11
ayy,11
wave,11
safe,11
lick,11
pretty,11
pile,11
nose,11
stomach,11
locked,11
math,11
shake,11
hustle,11
dirt,11
you've,11
called,11
hip-hop,11
feelings,11
story,11
here's,11
daughter,11
soft,11
faster,11
window,11
violence,11
sometimes,11
small,11
kitchen,11
fine,11
ends,11
chicken,11
great,11
empty,11
floor,11
drugs,11
hits,11
weak,11
fate,11
enemies,11
ones,11
bird,11
magic,11
ear,11
race,11
holy,11
keeps,11
naked,11
spirit,11
bein',11
fist,11
dogs,11
till,11
forth,11
arms,11
jaw,11
instead,11
planet,11
verses,11
stupid,11
finna,11
smile,11
list,11
fun,11
system,11
fans,11
thank,11
hungry,11
cock,11
mc,11
woke,11
tellin',11
follow,11
stage,11
sides,11
d,11
ain’t,11
2,10
sex,10
cap,10
cat,10
scream,10
bullshit,10
horse,10
sorry,10
trust,10
lie,10
golden,10
punch,10
least,10
palm,10
loose,10
acid,10
grip,10
wrist,10
thick,10
goat,10
balls,10
suck,10
player,10
bottom,10
songs,10
pictures,10
drug,10
west,10
brick,10
holes,10
control,10
40,10
jewels,10
platinum,10
stacks,10
steady,10
cream,10
pencil,10
bullet,10
dome,10
slang,10
wit',10
jail,10
attack,10
that'll,10
focus,10
shit's,10
swear,10
course,10
part,10
nas,10
bent,10
thunder,10
medicine,10
clear,10
doors,10
corner,10
raise,10
deal,10
machine,10
important,10
turned,10
age,10
flyin',10
wine,10
actually,10
6,10
fingers,10
silence,10
voice,10
lean,10
tired,10
swing,10
guys,10
nowadays,10
dream,10
seem,10
book,10
faith,10
bought,10
mike,10
boss,10
packed,10
having,10
incredible,10
crib,10
cover,10
booth,10
escape,10
hat,10
favorite,10
slim,10
dre,10
breathe,10
cheese,10
shoes,10
jay,10
today,10
build,10
reign,10
wanted,10
sing,10
competition,9
limit,9
defeat,9
eating,9
worst,9
broad,9
smokin',9
proof,9
table,9
simple,9
clique,9
patience,9
mile,9
underground,9
raised,9
slip,9
tip,9
drive,9
whenever,9
trouble,9
don,9
soda,9
inner,9
feels,9
wreck,9
grill,9
pistol,9
label,9
flooded,9
older,9
dance,9
lady,9
become,9
enemy,9
spin,9
ate,9
trash,9
legend,9
foot,9
easy,9
tracks,9
difference,9
success,9
tour,9
product,9
legs,9
begin,9
-,9
parts,9
earn,9
yours,9
spark,9
friend,9
benz,9
ways,9
fallin',9
smack,9
size,9
storm,9
picture,9
bury,9
slave,9
fresh,9
meant,9
pressure,9
satan,9
town,9
doctor,9
credit,9
card,9
truly,9
sentence,9
studio,9
stress,9
shoulder,9
watchin',9
twice,9
sent,9
forgot,9
clock,9
9,9
debt,9
lotta,9
level,9
choke,9
hair,9
chopper,9
price,9
questions,9
learned,9
spitting,9
message,9
bright,9
plastic,9
walls,9
missin',9
killers,9
fail,9
internet,9
sip,9
save,9
rockin',9
fed,9
dash,9
sittin',9
pants,9
givin',9
grass,9
imagine,9
blowin',9
unless,9
lyin',9
weapons,9
miss,9
hour,9
strapped,9
it'll,9
fiend,9
bodies,9
ooh,9
james,9
post,9
boat,9
laughin',9
crackin',9
cole,9
played,9
pace,9
question,8
mess,8
walking,8
worse,8
happen,8
rapping,8
spend,8
skill,8
third,8
rise,8
sack,8
single,8
kept,8
teach,8
may,8
pot,8
week,8
major,8
wheel,8
grave,8
lunch,8
basement,8
ears,8
sticks,8
lips,8
paint,8
&,8
dinner,8
chance,8
folks,8
roof,8
rep,8
purple,8
trap,8
shop,8
fortune,8
snatch,8
hang,8
screaming,8
insane,8
slick,8
rollin',8
hater,8
dropped,8
smash,8
else,8
hole,8
standin',8
mixed,8
climb,8
clutch,8
joe,8
loud,8
date,8
sellin',8
cocked,8
danger,8
droppin',8
strike,8
ayo,8
chin,8
knocked,8
emcees,8
hours,8
nick,8
shame,8
shirt,8
cars,8
saying,8
lift,8
juice,8
understand,8
coppin',8
5,8
worth,8
honor,8
rhymin',8
birth,8
